plot_id,farmer_id,region_id,area_ha,soil_group,soil_suitability_class,drainage_class,irrigation_access,available_water_m3,previous_crop,rotation_group,flood_exposure,drought_exposure,waterlogging_exposure,hazard_zone,active_season,synthetic_seed,synthetic
F0213-P01,F0213,R5,0.607,red,S2,moderate,tubewell,3135.2,rice,cereal,moderate,low,none,R5-HZ1,kharif,952478676,True
F0213-P02,F0213,R5,0.392,laterite,S1,well,rainfed,648.2,,,low,none,none,R5-HZ2,kharif,1275363065,True
F0214-P01,F0214,R4,0.429,red,S2,moderate,tubewell,1305.1,,,high,low,moderate,R4-HZ1,kharif,45925375,True
F0215-P01,F0215,R2,0.37,black,S2,well,tubewell,1343.6,maize,cereal,low,low,none,R2-HZ1,kharif,1524944841,True
F0215-P02,F0215,R2,0.123,red,S1,well,rainfed,140.7,,,none,low,low,R2-HZ2,kharif,1249241362,True
F0216-P01,F0216,R5,0.427,laterite,S1,well,canal,2277.4,,,high,low,none,R5-HZ1,kharif,986074738,True
F0216-P02,F0216,R5,0.117,red,S2,moderate,rainfed,201.3,pigeon_pea,legume,low,none,none,R5-HZ2,kharif,617087355,True
F0217-P01,F0217,R4,0.538,sandy,S1,well,rainfed,525.3,groundnut,legume,low,moderate,moderate,R4-HZ1,kharif,1916608270,True
F0218-P01,F0218,R1,1.932,sandy,S3,poor,canal,12944.9,rice,cereal,high,none,high,R1-HZ1,kharif,1660203805,True
F0218-P02,F0218,R1,0.345,alluvial,S1,poor,rainfed,468.9,maize,cereal,none,none,none,R1-HZ2,kharif,430393603,True
F0218-P03,F0218,R1,0.141,sandy,S3,poor,tubewell,785.2,rice,cereal,none,low,high,R1-HZ3,kharif,968713155,True
F0219-P01,F0219,R5,0.555,red,S2,well,rainfed,795.8,cotton,fibre,none,low,moderate,R5-HZ1,kharif,457485078,True
F0220-P01,F0220,R5,0.073,laterite,S2,well,rainfed,105.2,rice,cereal,high,none,low,R5-HZ1,kharif,1970569756,True
F0220-P02,F0220,R5,0.538,red,S2,moderate,rainfed,794.0,rice,cereal,low,none,moderate,R5-HZ2,kharif,129657743,True
F0221-P01,F0221,R2,0.342,black,S1,well,canal,1293.5,groundnut,legume,low,low,none,R2-HZ1,kharif,1030741367,True
F0222-P01,F0222,R3,1.356,laterite,S3,moderate,rainfed,2673.8,groundnut,legume,none,none,low,R3-HZ1,kharif,629153935,True
F0222-P02,F0222,R3,0.579,laterite,S2,poor,rainfed,1069.7,groundnut,legume,low,none,moderate,R3-HZ2,kharif,796975825,True
F0222-P03,F0222,R3,0.785,laterite,S2,moderate,tubewell,4345.1,groundnut,legume,low,none,none,R3-HZ3,kharif,464140649,True
F0222-P04,F0222,R3,2.581,laterite,S2,moderate,canal,19867.6,maize,cereal,high,moderate,moderate,R3-HZ1,kharif,1059791185,True
F0223-P01,F0223,R2,0.624,red,S3,well,rainfed,564.7,groundnut,legume,high,low,none,R2-HZ1,kharif,468910855,True
F0224-P01,F0224,R3,0.014,laterite,S3,poor,rainfed,29.3,rice,cereal,moderate,none,high,R3-HZ1,kharif,1329110264,True
F0224-P02,F0224,R3,0.285,laterite,N,well,tubewell,1919.2,rice,cereal,moderate,moderate,none,R3-HZ2,kharif,1335816156,True
F0225-P01,F0225,R4,0.544,sandy,S3,moderate,rainfed,629.0,cotton,fibre,moderate,none,moderate,R4-HZ1,kharif,333152642,True
F0225-P02,F0225,R4,0.235,red,S2,well,rainfed,257.3,groundnut,legume,low,moderate,low,R4-HZ2,kharif,987321299,True
F0225-P03,F0225,R4,0.288,sandy,S3,well,rainfed,333.3,cotton,fibre,moderate,high,moderate,R4-HZ3,kharif,1773037104,True
F0226-P01,F0226,R4,0.205,sandy,S1,well,tubewell,690.4,maize,cereal,moderate,low,none,R4-HZ1,kharif,944378435,True
F0226-P02,F0226,R4,0.439,sandy,S1,well,canal,1814.6,pigeon_pea,legume,low,moderate,moderate,R4-HZ2,kharif,1181153283,True
F0227-P01,F0227,R3,0.347,alluvial,S3,well,tubewell,2362.3,maize,cereal,none,moderate,low,R3-HZ1,kharif,821696895,True
F0228-P01,F0228,R1,0.256,sandy,S2,well,canal,1425.4,rice,cereal,moderate,none,low,R1-HZ1,kharif,1467692344,True
F0228-P02,F0228,R1,0.462,alluvial,S2,moderate,canal,2641.1,maize,cereal,low,moderate,moderate,R1-HZ2,kharif,1540310394,True
F0229-P01,F0229,R3,0.677,laterite,S1,moderate,canal,5766.5,rice,cereal,moderate,low,moderate,R3-HZ1,kharif,119931040,True
F0230-P01,F0230,R5,0.887,laterite,S1,well,rainfed,1358.3,pigeon_pea,legume,low,none,moderate,R5-HZ1,kharif,383603485,True
F0231-P01,F0231,R2,0.831,black,S3,moderate,rainfed,837.5,groundnut,legume,none,low,moderate,R2-HZ1,kharif,596893984,True
F0231-P02,F0231,R2,0.159,red,S1,moderate,rainfed,150.5,,,moderate,moderate,moderate,R2-HZ2,kharif,1321195877,True
F0232-P01,F0232,R4,0.303,red,S3,well,canal,1197.8,pigeon_pea,legume,low,moderate,none,R4-HZ1,kharif,793271158,True
F0232-P02,F0232,R4,0.213,red,S2,well,rainfed,229.9,,,none,low,none,R4-HZ2,kharif,904269216,True
F0233-P01,F0233,R3,0.512,alluvial,S2,moderate,rainfed,1002.5,groundnut,legume,low,none,none,R3-HZ1,kharif,1680132508,True
F0233-P02,F0233,R3,0.411,alluvial,N,moderate,canal,2738.9,rice,cereal,none,moderate,low,R3-HZ2,kharif,150016278,True
F0234-P01,F0234,R5,0.329,laterite,S2,moderate,canal,1941.8,,,moderate,none,none,R5-HZ1,kharif,1513909673,True
F0234-P02,F0234,R5,0.588,laterite,S1,moderate,rainfed,832.4,pigeon_pea,legume,low,high,moderate,R5-HZ2,kharif,1522100967,True
F0235-P01,F0235,R4,0.883,red,S3,poor,rainfed,1006.4,,,low,moderate,low,R4-HZ1,kharif,758872134,True
F0236-P01,F0236,R2,1.101,black,S2,poor,canal,3960.0,,,none,high,high,R2-HZ1,kharif,749492916,True
F0236-P02,F0236,R2,1.545,red,S2,well,tubewell,5360.7,pigeon_pea,legume,low,high,low,R2-HZ2,kharif,1268297491,True
F0236-P03,F0236,R2,0.134,black,S3,poor,rainfed,119.6,pigeon_pea,legume,moderate,moderate,none,R2-HZ3,kharif,1940823393,True
F0237-P01,F0237,R5,0.913,laterite,S3,moderate,tubewell,4625.5,cotton,fibre,low,none,low,R5-HZ1,kharif,1875597276,True
F0238-P01,F0238,R5,0.196,laterite,S3,moderate,canal,1270.1,maize,cereal,high,none,none,R5-HZ1,kharif,969022488,True
F0238-P02,F0238,R5,0.245,red,S1,poor,rainfed,320.8,groundnut,legume,low,low,high,R5-HZ2,kharif,1595574450,True
F0239-P01,F0239,R4,0.199,sandy,S1,poor,rainfed,233.0,maize,cereal,high,none,low,R4-HZ1,kharif,456640318,True
F0239-P02,F0239,R4,0.341,red,S2,moderate,canal,1481.5,rice,cereal,none,high,none,R4-HZ2,kharif,1673654339,True
F0239-P03,F0239,R4,0.649,sandy,S1,moderate,rainfed,693.6,cotton,fibre,moderate,none,low,R4-HZ3,kharif,1285285334,True
F0240-P01,F0240,R5,1.178,red,S1,poor,rainfed,1587.2,rice,cereal,none,none,low,R5-HZ1,kharif,1765358340,True
F0241-P01,F0241,R4,0.131,red,S1,well,rainfed,125.2,pigeon_pea,legume,moderate,none,low,R4-HZ1,kharif,173429214,True
F0241-P02,F0241,R4,0.325,sandy,S1,moderate,canal,1568.5,pigeon_pea,legume,moderate,high,moderate,R4-HZ2,kharif,1419209834,True
F0242-P01,F0242,R3,0.447,alluvial,S3,well,canal,3052.2,maize,cereal,moderate,low,none,R3-HZ1,kharif,23066563,True
F0242-P02,F0242,R3,0.166,laterite,S2,well,rainfed,321.1,cotton,fibre,none,none,moderate,R3-HZ2,kharif,1160967541,True
F0242-P03,F0242,R3,2.528,laterite,S2,moderate,canal,21225.5,groundnut,legume,high,moderate,none,R3-HZ3,kharif,67998740,True
F0243-P01,F0243,R3,0.246,laterite,S1,moderate,rainfed,422.8,maize,cereal,low,none,none,R3-HZ1,kharif,282073366,True
F0243-P02,F0243,R3,0.044,laterite,S1,moderate,rainfed,98.4,rice,cereal,low,low,none,R3-HZ2,kharif,1504032586,True
F0244-P01,F0244,R3,0.638,alluvial,S3,poor,rainfed,1170.5,rice,cereal,low,moderate,high,R3-HZ1,kharif,688973540,True
F0245-P01,F0245,R5,1.526,laterite,S1,well,canal,8620.5,rice,cereal,low,low,none,R5-HZ1,kharif,1216763979,True
F0245-P02,F0245,R5,1.287,red,S3,well,rainfed,1768.8,,,low,low,moderate,R5-HZ2,kharif,1467216658,True
F0245-P03,F0245,R5,1.163,laterite,S2,poor,tubewell,6004.3,,,none,low,high,R5-HZ3,kharif,892914835,True
F0246-P01,F0246,R4,1.615,red,S1,poor,rainfed,1735.1,pigeon_pea,legume,none,moderate,high,R4-HZ1,kharif,1124671085,True
F0247-P01,F0247,R3,0.44,laterite,S1,well,rainfed,820.4,groundnut,legume,moderate,moderate,none,R3-HZ1,kharif,133352777,True
F0247-P02,F0247,R3,0.124,laterite,S2,moderate,tubewell,885.2,,,low,none,low,R3-HZ2,kharif,1918748853,True
F0248-P01,F0248,R3,0.657,alluvial,S1,well,rainfed,1408.7,cotton,fibre,high,none,low,R3-HZ1,kharif,1874280080,True
F0248-P02,F0248,R3,0.034,alluvial,S2,well,rainfed,71.4,,,low,moderate,moderate,R3-HZ2,kharif,865879962,True
F0249-P01,F0249,R5,0.267,laterite,S2,poor,tubewell,1481.8,cotton,fibre,moderate,low,high,R5-HZ1,kharif,1469987744,True
F0250-P01,F0250,R4,0.58,sandy,N,well,rainfed,565.2,groundnut,legume,low,none,none,R4-HZ1,kharif,622069674,True
F0251-P01,F0251,R2,0.335,red,S1,well,canal,1562.7,pigeon_pea,legume,none,moderate,moderate,R2-HZ1,kharif,1014391739,True
F0251-P02,F0251,R2,0.04,black,S1,well,rainfed,36.4,cotton,fibre,low,high,none,R2-HZ2,kharif,1720439634,True
F0252-P01,F0252,R2,0.34,red,S2,moderate,tubewell,1328.3,rice,cereal,none,low,low,R2-HZ1,kharif,1511347198,True
F0253-P01,F0253,R5,0.551,red,S3,poor,rainfed,903.9,,,none,low,high,R5-HZ1,kharif,914754079,True
F0253-P02,F0253,R5,0.137,red,S2,moderate,rainfed,209.6,pigeon_pea,legume,none,none,none,R5-HZ2,kharif,1298201776,True
F0254-P01,F0254,R5,0.322,red,S2,well,tubewell,1846.8,groundnut,legume,moderate,low,none,R5-HZ1,kharif,1523636324,True
F0255-P01,F0255,R3,0.268,laterite,S2,well,rainfed,528.9,cotton,fibre,low,high,none,R3-HZ1,kharif,27877236,True
F0256-P01,F0256,R2,0.703,black,N,moderate,rainfed,834.3,rice,cereal,low,none,none,R2-HZ1,kharif,1110382692,True
F0257-P01,F0257,R2,0.305,black,S2,moderate,rainfed,296.2,rice,cereal,none,none,none,R2-HZ1,kharif,609132398,True
F0257-P02,F0257,R2,0.482,red,S3,moderate,rainfed,516.5,cotton,fibre,none,low,none,R2-HZ2,kharif,1595442462,True
F0258-P01,F0258,R1,0.091,alluvial,S1,moderate,rainfed,145.3,rice,cereal,low,moderate,low,R1-HZ1,kharif,741022483,True
F0258-P02,F0258,R1,0.126,alluvial,S3,poor,canal,861.4,rice,cereal,low,moderate,none,R1-HZ2,kharif,482153824,True
F0259-P01,F0259,R2,0.207,black,S1,moderate,rainfed,228.3,rice,cereal,none,moderate,moderate,R2-HZ1,kharif,246340979,True
F0259-P02,F0259,R2,0.089,red,S3,well,canal,354.8,pigeon_pea,legume,none,high,moderate,R2-HZ2,kharif,1040594147,True
F0260-P01,F0260,R4,0.233,red,S1,moderate,rainfed,279.2,groundnut,legume,none,low,none,R4-HZ1,kharif,60963947,True
F0261-P01,F0261,R2,0.479,black,S2,poor,canal,1858.1,groundnut,legume,none,moderate,moderate,R2-HZ1,kharif,108241489,True
F0262-P01,F0262,R3,0.899,laterite,S3,well,canal,6639.6,maize,cereal,high,low,none,R3-HZ1,kharif,1982443784,True
F0262-P02,F0262,R3,0.066,alluvial,S2,moderate,tubewell,479.9,,,high,low,moderate,R3-HZ2,kharif,243638423,True
F0263-P01,F0263,R4,3.517,red,S2,moderate,canal,14689.6,groundnut,legume,none,moderate,none,R4-HZ1,kharif,1400320658,True
F0263-P02,F0263,R4,1.081,sandy,S1,well,rainfed,1088.5,cotton,fibre,low,low,none,R4-HZ2,kharif,1173961099,True
F0264-P01,F0264,R4,0.074,sandy,S1,well,rainfed,82.7,,,none,moderate,moderate,R4-HZ1,kharif,771713287,True
F0264-P02,F0264,R4,0.154,sandy,S2,poor,rainfed,163.9,cotton,fibre,low,high,low,R4-HZ2,kharif,906754427,True
F0265-P01,F0265,R2,0.228,red,S2,well,rainfed,261.7,,,none,low,low,R2-HZ1,kharif,455166514,True
F0265-P02,F0265,R2,0.536,red,S1,moderate,rainfed,530.9,pigeon_pea,legume,low,low,none,R2-HZ2,kharif,1923579003,True
F0266-P01,F0266,R3,0.472,alluvial,S3,moderate,canal,3924.8,,,low,low,moderate,R3-HZ1,kharif,852528231,True
F0266-P02,F0266,R3,0.094,laterite,S1,well,canal,739.6,,,moderate,moderate,moderate,R3-HZ2,kharif,835547608,True
F0267-P01,F0267,R1,1.037,alluvial,S2,well,tubewell,4575.0,cotton,fibre,low,none,low,R1-HZ1,kharif,286100074,True
F0267-P02,F0267,R1,0.43,alluvial,S1,well,rainfed,618.1,pigeon_pea,legume,none,low,low,R1-HZ2,kharif,694155345,True
F0268-P01,F0268,R3,0.553,laterite,S2,well,rainfed,1082.7,pigeon_pea,legume,low,moderate,moderate,R3-HZ1,kharif,1485633948,True
F0269-P01,F0269,R1,1.082,sandy,N,moderate,tubewell,5597.5,,,none,none,none,R1-HZ1,kharif,1401364989,True
F0269-P02,F0269,R1,1.008,alluvial,S1,well,tubewell,5613.3,rice,cereal,none,moderate,low,R1-HZ2,kharif,435498458,True
F0270-P01,F0270,R2,1.75,black,S3,well,rainfed,1764.3,,,none,moderate,low,R2-HZ1,kharif,1022160366,True
F0271-P01,F0271,R4,0.849,sandy,S1,moderate,rainfed,1006.3,maize,cereal,moderate,moderate,none,R4-HZ1,kharif,560905991,True
F0272-P01,F0272,R4,2.796,red,S1,moderate,rainfed,2507.0,,,none,high,low,R4-HZ1,kharif,659938989,True
F0272-P02,F0272,R4,0.819,red,S1,poor,rainfed,847.7,groundnut,legume,low,none,low,R4-HZ2,kharif,601252624,True
F0273-P01,F0273,R3,0.941,alluvial,S2,moderate,canal,7493.4,cotton,fibre,moderate,high,low,R3-HZ1,kharif,1741311220,True
F0274-P01,F0274,R4,0.188,red,N,poor,canal,792.0,groundnut,legume,low,low,high,R4-HZ1,kharif,1398557208,True
F0274-P02,F0274,R4,0.499,red,S1,well,tubewell,1927.4,rice,cereal,low,high,low,R4-HZ2,kharif,440244669,True
F0275-P01,F0275,R3,0.284,alluvial,S2,moderate,rainfed,494.5,groundnut,legume,moderate,moderate,moderate,R3-HZ1,kharif,1867823092,True
F0275-P02,F0275,R3,0.743,laterite,S3,moderate,tubewell,5317.0,cotton,fibre,low,moderate,none,R3-HZ2,kharif,939159796,True
F0276-P01,F0276,R4,0.626,red,S2,well,rainfed,583.0,rice,cereal,low,low,low,R4-HZ1,kharif,442086367,True
F0276-P02,F0276,R4,0.848,sandy,S2,well,tubewell,2907.7,pigeon_pea,legume,low,high,moderate,R4-HZ2,kharif,44484392,True
F0276-P03,F0276,R4,0.074,sandy,S2,well,rainfed,80.7,cotton,fibre,moderate,low,low,R4-HZ3,kharif,1355659222,True
F0277-P01,F0277,R3,0.224,alluvial,S1,well,rainfed,416.3,,,low,low,low,R3-HZ1,kharif,1092330069,True
F0278-P01,F0278,R1,0.475,alluvial,S1,well,canal,2845.9,groundnut,legume,none,none,low,R1-HZ1,kharif,132820601,True
F0278-P02,F0278,R1,0.211,sandy,S2,well,rainfed,350.6,,,low,low,moderate,R1-HZ2,kharif,1457732932,True
F0279-P01,F0279,R3,0.593,alluvial,S2,well,rainfed,1083.0,rice,cereal,low,moderate,low,R3-HZ1,kharif,383991660,True
F0279-P02,F0279,R3,0.275,alluvial,S2,well,canal,2178.9,pigeon_pea,legume,high,low,none,R3-HZ2,kharif,1391927401,True
F0280-P01,F0280,R5,0.201,laterite,S1,well,canal,1210.7,rice,cereal,moderate,high,none,R5-HZ1,kharif,1166012047,True
F0280-P02,F0280,R5,0.735,red,S1,well,rainfed,1237.3,pigeon_pea,legume,low,none,none,R5-HZ2,kharif,1368006896,True
F0281-P01,F0281,R3,0.309,alluvial,S2,moderate,canal,2474.1,pigeon_pea,legume,moderate,none,none,R3-HZ1,kharif,371428212,True
F0281-P02,F0281,R3,0.353,alluvial,S1,moderate,rainfed,593.4,cotton,fibre,low,none,none,R3-HZ2,kharif,1359262412,True
F0282-P01,F0282,R3,0.117,alluvial,S1,well,tubewell,711.7,cotton,fibre,low,low,moderate,R3-HZ1,kharif,1073870467,True
F0282-P02,F0282,R3,0.19,alluvial,N,moderate,tubewell,1352.9,maize,cereal,moderate,moderate,low,R3-HZ2,kharif,584644369,True
F0282-P03,F0282,R3,1.796,laterite,S2,moderate,rainfed,3710.4,groundnut,legume,none,none,low,R3-HZ3,kharif,1064088909,True
F0283-P01,F0283,R3,0.903,laterite,S2,well,rainfed,1707.3,cotton,fibre,none,none,none,R3-HZ1,kharif,215505460,True
F0284-P01,F0284,R3,0.297,laterite,S2,well,rainfed,641.5,cotton,fibre,low,high,moderate,R3-HZ1,kharif,510825944,True
F0285-P01,F0285,R5,0.418,red,S1,well,canal,2806.7,pigeon_pea,legume,moderate,none,low,R5-HZ1,kharif,47069054,True
F0286-P01,F0286,R5,0.743,red,N,well,rainfed,1229.4,groundnut,legume,moderate,low,low,R5-HZ1,kharif,1800530347,True
F0286-P02,F0286,R5,0.15,laterite,S3,well,canal,916.7,,,low,none,none,R5-HZ2,kharif,1768897656,True
F0287-P01,F0287,R3,0.275,laterite,S2,well,rainfed,474.0,groundnut,legume,high,none,moderate,R3-HZ1,kharif,1471090411,True
F0288-P01,F0288,R1,0.875,sandy,S2,well,rainfed,1455.3,maize,cereal,none,moderate,moderate,R1-HZ1,kharif,1851333401,True
F0288-P02,F0288,R1,0.275,sandy,S2,moderate,tubewell,1349.0,maize,cereal,moderate,low,moderate,R1-HZ2,kharif,1958938036,True
F0288-P03,F0288,R1,4.304,sandy,S1,well,tubewell,21803.5,,,none,low,low,R1-HZ3,kharif,1138370941,True
F0288-P04,F0288,R1,0.275,sandy,S3,poor,rainfed,456.0,rice,cereal,high,none,high,R1-HZ1,kharif,1781624085,True
F0289-P01,F0289,R4,0.064,sandy,S3,well,rainfed,66.3,,,low,none,moderate,R4-HZ1,kharif,581450242,True
F0289-P02,F0289,R4,0.495,red,S2,well,tubewell,1604.8,maize,cereal,low,none,low,R4-HZ2,kharif,1522921265,True
F0289-P03,F0289,R4,0.734,red,S2,well,rainfed,802.7,groundnut,legume,low,high,moderate,R4-HZ3,kharif,944162578,True
F0290-P01,F0290,R1,0.403,alluvial,S2,well,tubewell,1999.4,cotton,fibre,moderate,none,none,R1-HZ1,kharif,1578801916,True
F0290-P02,F0290,R1,0.021,alluvial,S2,well,canal,132.4,pigeon_pea,legume,none,high,none,R1-HZ2,kharif,941603010,True
F0291-P01,F0291,R2,1.324,black,S2,moderate,tubewell,4725.4,rice,cereal,moderate,none,moderate,R2-HZ1,kharif,1651430497,True
F0291-P02,F0291,R2,0.606,red,S3,well,canal,2200.9,cotton,fibre,moderate,moderate,none,R2-HZ2,kharif,1803823689,True
F0291-P03,F0291,R2,0.131,red,S2,moderate,rainfed,135.6,maize,cereal,moderate,none,low,R2-HZ3,kharif,1042105808,True
F0292-P01,F0292,R4,0.439,sandy,S2,well,rainfed,483.8,,,none,low,moderate,R4-HZ1,kharif,354743336,True
F0292-P02,F0292,R4,0.364,sandy,S1,well,rainfed,348.4,,,high,high,low,R4-HZ2,kharif,1473915250,True
F0292-P03,F0292,R4,1.17,red,S1,moderate,tubewell,3596.4,groundnut,legume,moderate,low,low,R4-HZ3,kharif,497996867,True
F0293-P01,F0293,R3,1.308,alluvial,S3,moderate,rainfed,2634.0,rice,cereal,moderate,low,moderate,R3-HZ1,kharif,1202271239,True
F0293-P02,F0293,R3,1.784,alluvial,S3,moderate,canal,12621.9,pigeon_pea,legume,moderate,none,none,R3-HZ2,kharif,833303119,True
F0293-P03,F0293,R3,0.159,alluvial,S3,poor,rainfed,309.7,cotton,fibre,none,low,moderate,R3-HZ3,kharif,734238412,True
F0294-P01,F0294,R3,0.701,alluvial,S2,poor,canal,4742.9,groundnut,legume,moderate,low,none,R3-HZ1,kharif,1681241325,True
F0294-P02,F0294,R3,1.003,alluvial,S2,well,rainfed,2009.5,rice,cereal,none,none,moderate,R3-HZ2,kharif,653911596,True
F0294-P03,F0294,R3,0.088,laterite,S1,well,rainfed,166.0,rice,cereal,low,none,moderate,R3-HZ3,kharif,1928825020,True
F0295-P01,F0295,R3,0.655,alluvial,S2,well,rainfed,1245.1,groundnut,legume,none,none,low,R3-HZ1,kharif,1782450832,True
F0296-P01,F0296,R5,0.475,red,S2,moderate,tubewell,2038.4,pigeon_pea,legume,none,moderate,low,R5-HZ1,kharif,1229870619,True
F0297-P01,F0297,R3,0.201,laterite,N,well,rainfed,394.9,maize,cereal,none,none,none,R3-HZ1,kharif,273588790,True
F0297-P02,F0297,R3,0.568,alluvial,S2,well,canal,3930.7,groundnut,legume,low,high,none,R3-HZ2,kharif,850767624,True
F0298-P01,F0298,R4,0.23,red,S3,poor,tubewell,891.1,maize,cereal,low,moderate,none,R4-HZ1,kharif,1093616984,True
F0299-P01,F0299,R2,0.374,red,S2,well,tubewell,1462.1,cotton,fibre,none,moderate,low,R2-HZ1,kharif,107478384,True
F0299-P02,F0299,R2,0.446,black,S2,moderate,rainfed,440.9,cotton,fibre,none,high,low,R2-HZ2,kharif,1330894393,True
F0300-P01,F0300,R1,0.381,sandy,S2,well,rainfed,494.2,groundnut,legume,none,none,low,R1-HZ1,kharif,914147529,True
F0300-P02,F0300,R1,0.347,sandy,S2,moderate,tubewell,1926.8,,,high,none,moderate,R1-HZ2,kharif,752417776,True
F0301-P01,F0301,R4,0.386,red,S2,well,tubewell,1516.2,groundnut,legume,low,moderate,moderate,R4-HZ1,kharif,43109136,True
F0301-P02,F0301,R4,0.204,sandy,S1,moderate,rainfed,193.4,cotton,fibre,none,low,moderate,R4-HZ2,kharif,1359266580,True
F0302-P01,F0302,R3,0.399,laterite,S1,well,canal,3010.9,rice,cereal,none,low,none,R3-HZ1,kharif,1330414021,True
F0303-P01,F0303,R1,0.916,sandy,S1,well,rainfed,1535.2,,,high,low,low,R1-HZ1,kharif,1703749286,True
F0304-P01,F0304,R2,0.193,black,S2,moderate,canal,788.9,groundnut,legume,none,high,none,R2-HZ1,kharif,1129996312,True
F0304-P02,F0304,R2,0.871,red,S1,well,rainfed,835.1,pigeon_pea,legume,low,high,moderate,R2-HZ2,kharif,1324727959,True
F0305-P01,F0305,R3,0.395,alluvial,S1,well,canal,2764.3,maize,cereal,moderate,low,none,R3-HZ1,kharif,1158887866,True
F0306-P01,F0306,R4,1.608,red,S2,well,rainfed,1771.2,rice,cereal,none,moderate,none,R4-HZ1,kharif,779814419,True
F0307-P01,F0307,R1,0.501,sandy,S2,moderate,canal,2750.7,cotton,fibre,high,moderate,none,R1-HZ1,kharif,837506182,True
F0308-P01,F0308,R3,0.277,laterite,S1,well,rainfed,484.1,groundnut,legume,moderate,moderate,none,R3-HZ1,kharif,1897253875,True
F0309-P01,F0309,R5,0.64,red,S2,poor,tubewell,3250.3,,,none,low,low,R5-HZ1,kharif,1596332225,True
F0309-P02,F0309,R5,0.496,red,N,well,rainfed,632.7,rice,cereal,none,none,low,R5-HZ2,kharif,962575277,True
F0309-P03,F0309,R5,0.057,laterite,S1,well,canal,338.9,pigeon_pea,legume,none,none,low,R5-HZ3,kharif,910155062,True
F0310-P01,F0310,R1,0.299,alluvial,S1,poor,canal,1661.6,rice,cereal,high,moderate,high,R1-HZ1,kharif,435777780,True
F0311-P01,F0311,R4,0.052,sandy,S2,well,rainfed,53.1,cotton,fibre,none,low,moderate,R4-HZ1,kharif,1077229798,True
F0311-P02,F0311,R4,0.355,red,S1,well,rainfed,351.9,rice,cereal,none,low,low,R4-HZ2,kharif,949707515,True
F0312-P01,F0312,R4,0.89,red,S3,well,rainfed,1059.9,groundnut,legume,low,high,none,R4-HZ1,kharif,301333360,True
F0313-P01,F0313,R5,0.802,laterite,S1,well,rainfed,1177.6,,,none,none,moderate,R5-HZ1,kharif,1912191060,True
F0314-P01,F0314,R1,0.794,alluvial,S3,moderate,tubewell,3620.3,pigeon_pea,legume,none,none,moderate,R1-HZ1,kharif,888802820,True
F0314-P02,F0314,R1,1.032,alluvial,S1,moderate,rainfed,1494.0,rice,cereal,none,none,moderate,R1-HZ2,kharif,1308373478,True
F0315-P01,F0315,R2,1.924,red,S2,poor,rainfed,2177.3,,,none,moderate,high,R2-HZ1,kharif,769890140,True
F0316-P01,F0316,R3,0.294,alluvial,S2,well,rainfed,600.4,cotton,fibre,high,low,moderate,R3-HZ1,kharif,1295051596,True
F0316-P02,F0316,R3,0.658,alluvial,S2,moderate,tubewell,4357.6,maize,cereal,high,none,low,R3-HZ2,kharif,676708282,True
F0317-P01,F0317,R2,1.849,black,S1,moderate,tubewell,6178.0,rice,cereal,none,none,low,R2-HZ1,kharif,1256601016,True
F0317-P02,F0317,R2,1.642,red,S3,moderate,tubewell,4895.3,rice,cereal,moderate,moderate,moderate,R2-HZ2,kharif,1008138076,True
F0318-P01,F0318,R3,0.575,laterite,S2,well,canal,3877.9,groundnut,legume,low,none,none,R3-HZ1,kharif,1394077655,True
F0318-P02,F0318,R3,2.307,laterite,S2,moderate,tubewell,14426.6,cotton,fibre,low,moderate,none,R3-HZ2,kharif,746137000,True
F0318-P03,F0318,R3,2.726,alluvial,S1,moderate,canal,23476.9,,,high,moderate,none,R3-HZ3,kharif,1928828857,True
F0318-P04,F0318,R3,2.97,laterite,N,well,tubewell,20693.2,,,moderate,moderate,none,R3-HZ1,kharif,1677200509,True
F0318-P05,F0318,R3,3.114,laterite,S1,poor,rainfed,5720.1,cotton,fibre,none,low,high,R3-HZ2,kharif,547207723,True
F0319-P01,F0319,R3,0.132,alluvial,S2,well,tubewell,823.9,pigeon_pea,legume,moderate,none,none,R3-HZ1,kharif,277266869,True
F0319-P02,F0319,R3,0.177,alluvial,S1,moderate,rainfed,344.8,cotton,fibre,none,none,moderate,R3-HZ2,kharif,54727074,True
F0320-P01,F0320,R4,0.791,sandy,S1,well,rainfed,858.8,,,none,moderate,none,R4-HZ1,kharif,1078371498,True
F0320-P02,F0320,R4,1.182,red,S1,well,rainfed,1074.4,pigeon_pea,legume,moderate,moderate,low,R4-HZ2,kharif,926253497,True
F0321-P01,F0321,R2,0.401,red,S2,well,canal,1893.1,,,moderate,low,none,R2-HZ1,kharif,1599162492,True
F0322-P01,F0322,R3,0.215,laterite,S3,moderate,canal,1534.8,rice,cereal,high,moderate,low,R3-HZ1,kharif,944130323,True
F0322-P02,F0322,R3,0.31,alluvial,S2,well,rainfed,606.1,pigeon_pea,legume,none,moderate,low,R3-HZ2,kharif,973901283,True
F0323-P01,F0323,R5,0.429,red,S3,well,canal,2888.0,rice,cereal,none,none,moderate,R5-HZ1,kharif,1535548811,True
F0324-P01,F0324,R2,0.604,red,S3,well,rainfed,671.3,,,moderate,moderate,moderate,R2-HZ1,kharif,654795827,True
F0324-P02,F0324,R2,0.241,black,S1,poor,tubewell,765.7,,,low,low,high,R2-HZ2,kharif,1565912674,True
